x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.637188384
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.593123562
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.605476462
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639400843
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.614510672
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.751683171
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.798513567
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62778543
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.729374203
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612666956
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.872077851
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.633685322
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786160668
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.631657234
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651016256
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.574317655
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.60639832
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.617460618
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.575239513
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.599576569
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.561227268
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799435426
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.764220443
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.755370604
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.633869694
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.719233763
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.632394721
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.595889136
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.597732853
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771410937
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630551005
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.655809919
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.760164267
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.580401919
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.589989244
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.559936667
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64124456
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.574317655
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.608979523
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.60639832
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.638478985
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.570814594
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.599023454
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.549427483
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771410937
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.614141929
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719233763
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904342888
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.619673078
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675906428
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.724764912
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.838983142
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.727161743
0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.750853499
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.790309029
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.757675249
0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.724857098
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.887657255
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.716560374
0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.76163924
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.919922292
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.832253577
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.748825411
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.723750868
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.733153821
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.820822536
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.761178311
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.83197702
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.825155269
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.832437949
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.760717381
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.727346115
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.763022027
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.83815347
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.896968023
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.730019504
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.784685695
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.814922643
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.759795523
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.822389695
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.740713059
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.825708384
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.783118536
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.748733225
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.781182633
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.796301108
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.739606829
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.720985293
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.805335318
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.747995738
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.729189831
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.750576941
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.699782555
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.832991064
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.813171113
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.724211797
0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.755370604
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.740620873
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.683281293
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.697385724
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.71047611
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.689181186
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.7014419
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.736841254
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.816858545
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.840365929
